,Fold_GSE118370,Fold_GSE23066,Fold_GSE40791,Fold_GSE30219,Fold_GSE31210,Fold_GSE18842,Fold_GSE50081,Fold_GSE140797,Fold_GSE19804,Fold_GSE7670,Fold_GSE19188,Importancia_Media,Consistencia_Signo
KCNJ2,-0.18810018334682624,-0.1837563949174485,-0.17866759418776776,0.0,-0.26400935733716857,-0.20888888599677377,-0.2917426844175921,-0.1850153393896945,-0.09715793612636967,-0.17517492761195302,-0.14222951809278164,0.1740675292203978,-10.0
NFASC,-0.1903708356456171,-0.14758615753280865,-0.22101601600882093,0.0,-0.12319226152742675,-0.10749682089035045,-0.27307130230191373,-0.23503217549581706,0.0,-0.23222025147039665,-0.37410962536937864,0.17309958602204817,-9.0
CHCHD2,0.17504463743967924,0.1411943482358889,0.22888437402841577,0.0,0.13482074228115826,0.23561888092115804,0.22824199376787746,0.22157861768337858,0.0,0.1465177879221923,0.3222305482197811,0.16673926640904815,9.0
PPP3CB,0.31520151329830387,0.21417818051149368,0.18680509584509425,0.0,0.0,0.14284755166096247,0.3082675107499778,0.26752875297907136,0.0,0.35237723936363674,0.03913859943170587,0.166031313076386,8.0
LAMP3,-0.1770489356070303,-0.08964279570857375,-0.2559071315176528,0.0,-0.1889783811686438,-0.15307140539012443,-0.40223662297885504,-0.1570917491631053,-0.004170450952918459,-0.1435578123648001,-0.22327124786509217,0.16317968479243602,-10.0
KRT19P2,0.24763122485137617,0.238540797293633,0.15715320072509817,0.1506763551196422,0.005648974689641718,0.2572897118177937,0.14282325808228882,0.20548659172400355,0.059318473079011,0.1841169576290278,0.13901647970957165,0.16251836588373528,11.0
MMP7,0.18092642188289684,0.11551085716143059,0.1400126647735246,0.0,0.1613298480093715,0.2153137600289775,0.20733609422137905,0.18764193847408878,0.0063742335198418475,0.20608964843330868,0.31032484849331643,0.15735093772710326,10.0
ZNF652,0.2301048363251991,0.2563373867296692,0.06260418204662216,0.0,0.1935521717694991,0.14245878964721376,0.20532917747806573,0.2669793832585983,0.03789450438800363,0.208356296997248,0.1057679562839173,0.15539860772036695,10.0
LRRC31,0.16706107780375673,0.18190802556991809,0.10770298749853346,0.19332811205080888,0.07390180149420879,0.167945324319821,0.20266071716427833,0.16428200072902566,0.0812018712622222,0.14242942010051196,0.1345683541045638,0.14699906291796808,11.0
ANXA11,-0.1842220322596015,-0.15415478311719924,-0.18590285558337513,-0.01570191960385619,0.0,-0.24234396271760347,-0.24788017946468188,-0.16561002098860383,0.0,-0.22560538322852458,-0.19464729800939845,0.14691531227025856,-9.0
PTPRZ1,0.10523695131588255,0.0982418831157908,0.37130200273187414,0.0,0.036106956189086034,0.11960710163678587,0.24666319653080543,0.15982773691241026,0.1450702512262896,0.15443075320583358,0.09809681552033393,0.13950760439864474,10.0
ALPI,0.19909547393052077,0.19504477180110236,0.11765344400594371,0.07116913857048367,0.07453933142791187,0.26282222242363157,0.16825104817035877,0.18220412928692845,0.0,0.1826577328657011,0.07789525886877297,0.13921205012285046,10.0
NRIP3,0.06991705197421076,0.1067884001196889,0.06387052765049989,0.30822840003052737,0.12301637451366575,0.09839813462635574,0.09847755107148246,0.13900335705703185,0.32230082520193526,0.14736466253373032,0.01366907995068737,0.13554857861180142,11.0
CA5BP1,0.1700885456051527,0.11232220105244752,0.09938749661089623,0.2977838227958593,0.052188107637623556,0.11188875500734854,0.11125279766683077,0.1724020007633659,0.08040959812914682,0.27282915414403897,0.0,0.13459567994661004,10.0
RAD23B,0.11007706893019119,0.2194465053939922,0.17220633494080026,0.12177675053729653,0.0,0.20110363748910634,0.1602929099131507,0.14520788493207243,0.10678601782780636,0.10223495013992127,0.13463300680488616,0.13397864244629304,10.0
KLK2,-0.13276048457539175,-0.1258159790474247,-0.15377988867603354,-0.11840961412320875,-0.005605907017868157,-0.18013922823759312,-0.14670718416561937,-0.15120470325340374,-0.1800616400622214,-0.07049511314423873,-0.19788502616649126,0.1329877062244995,-11.0
PAM16,0.14460883693454235,0.1662999431195365,0.12821259143703526,0.18060607135132184,0.19909679248429427,0.14056649469130922,0.1195871465446495,0.15836494429746348,0.0,0.17244797802533338,0.03730665693168162,0.13155431416519703,10.0
UBR7,0.1312639561409369,0.1935060086555522,0.08087256705616984,0.17861487542208346,0.14594888347324247,0.05688124376672441,0.13752663465713366,0.18529235645793318,0.19060949083042866,0.09298673132861192,0.04876431467189512,0.13111518749642834,11.0
PLEKHA6,0.17867471648848182,0.10055186410388618,0.006549146742853764,0.16463406704832373,0.0,0.17923853825893415,0.05695103428156619,0.2265000996228469,0.0,0.23935429763773117,0.28326920914089687,0.13052027030232008,9.0
SPINK1,0.1487131147375912,0.11233069931621592,0.1960398819507034,0.25689814275005535,0.08278253668803642,0.06163786987843923,0.009890852963951048,0.1726025018095807,0.01716262704660562,0.1872746563942966,0.16732412204331362,0.1284233641435263,11.0
STMN2,0.15973848210620886,0.14532741985260286,0.10971439203913488,0.0,0.28094209889941957,0.10981367382384051,0.06922926989618902,0.14867312347618672,0.0,0.14971921983729616,0.16198803749961607,0.12137688340277224,9.0
ECHDC3,-0.12459729508062632,-0.16155231857831062,-0.10339394754928802,-0.15079692986521998,-0.13700656570757402,-0.28369579649402316,-0.04269631889285199,-0.1319828272022772,0.0,-0.08488854263586211,-0.04901763793637941,0.11542074363112843,-10.0
COL10A1,0.05123657176720166,0.0,0.17726580030389877,0.3165221585537362,0.0,0.1315194927500739,0.13767383878994666,0.17383862418340432,0.17611727220392231,0.10047669770748827,0.0,0.11496822329633383,8.0
NUP62CL,0.0870195804661846,0.05149307622163416,0.16401277266982878,0.07923051630276659,0.005441708990953259,0.17861381248877053,0.18394157172052458,0.17699762611036715,0.0,0.12118125922310476,0.2113829799258872,0.11448317310182016,10.0
GPM6A,0.1726477624668816,0.041126549086947434,0.1651773704012791,0.0,0.38390808117368824,0.09639908156352661,0.0,0.16074112452062314,0.02864557926844992,0.15249386620218033,0.05468432358234195,0.11416579438781076,9.0
APBB3,0.1686887579679814,0.10377550758523288,0.022992399737557845,0.0941690555645781,0.13883535491378593,0.17679838894672398,0.16732662274391485,0.1614435392776953,0.0905434596231481,0.1305351064114109,0.0,0.11410074479745719,10.0
ANKRD1,0.1257490424462988,0.11159710940673988,0.11277219115977624,0.0,0.10020006540195499,0.09587595012483704,0.14496554554281413,0.12280132489445068,0.18838854245280048,0.14464829603216517,0.10237652037677854,0.11357950798532873,10.0
AQR,-0.17577555234537412,-0.06734217030042927,0.0,-0.1239874348957002,-0.028514888237186807,-0.20252485064071954,-0.19834223052767433,-0.16575721450392522,-0.08905053889053874,-0.18245627125615452,0.0,0.11215919559979116,-9.0
FAM107A,0.1342034357486174,0.21416756124554656,0.19698952918390003,0.0,0.15214499222224417,0.03307969168798937,0.03978577247840047,0.1478318583012834,0.06247141989317228,0.16414176637558672,0.06873581690073201,0.11032289491249749,10.0
REXO4,0.11303584284351284,0.2903165520679001,0.13309196732197331,0.015082236179859137,0.0,0.10951305303997559,0.1442152076032967,0.17969603624406652,0.04216913661665179,0.10228745665027388,0.05192374742397862,0.10739374872649897,10.0
NKIRAS2,0.13142460453533278,0.1172179031728437,0.047140293936442944,0.14703244945031563,0.0,0.0988456057767276,0.18272782143383745,0.10295482248512161,0.0,0.1989036376458201,0.14941664225585863,0.10687852551748188,9.0
TMED9,0.21840178881271566,0.17676975675236528,0.014852036146580256,0.04018809317204562,0.03217965569691696,0.03432043277626087,0.19007194137832,0.14312786108883538,0.22079585183479236,0.09499378464553813,0.0,0.10597283657312459,10.0
HSPB1,0.10871932705839288,0.1857615761937346,0.014485199216949652,0.11738688384360178,0.0,0.07280930431070982,0.15449693220472452,0.09508356274483037,0.14805268079369188,0.10880672045038697,0.15908064937253413,0.10588025783541423,10.0
ARHGDIG,-0.15768958994368287,-0.12238181806269656,-0.1144767086847555,-0.09953953252423785,-0.02499853605491373,-0.14259415468655492,-0.09339924096285726,-0.1627513632715876,-0.07139071207389545,-0.10244261242849223,-0.04957927264534285,0.10374941284900152,-11.0
APP,0.11534853711185704,0.09006469494280421,0.0312245185153366,0.056552833743931746,0.23419103820299514,0.1699563046906645,0.05174052300266163,0.13675418445248352,0.0,0.16116044376613003,0.08976483872877068,0.10334162883251227,10.0
TBXAS1,-0.12853872418177714,0.0,-0.03510959622458975,0.0,0.0,-0.1891298004201328,-0.11748763170693108,-0.14547774879829242,-0.25099365888921327,-0.07537574987364523,-0.18085061152009163,0.10208759287406123,-8.0
STRA13,0.17888132432239276,0.07922171343853392,0.07753300400572383,0.13604945430520424,0.017035909166784807,0.10175735736767932,0.06944145542765211,0.1639626727795511,0.0741121664600696,0.10920216229530136,0.10862408414718666,0.10143830033782542,11.0
C1orf106,0.11454358299488383,0.16112240871030034,0.17980778482231063,0.0,0.030051747714134738,0.0,0.26890074526375607,0.0813092959422099,0.15898718091818193,0.08853805226694929,0.0,0.09847825442115697,8.0
PIAS3,0.11614352654331563,0.0069111193306238845,0.15708778779679847,0.011414470699302457,0.24841173505799138,0.08471778023346994,0.06929934991636218,0.11116284910344558,0.0,0.1269129399938187,0.14440325120825176,0.09786043726212545,10.0
DDX4,-0.08224162304166716,-0.0539849642389092,-0.12742097332246646,0.0,-0.12799663943020223,-0.16092695190144157,-0.08201448296158463,-0.09168045177214917,-0.15465450782940296,-0.12084119172132267,-0.0676152620822385,0.09721609530012588,-10.0
WNT7B,0.13300427207174448,0.15302375029755022,0.06137059359180715,0.22293722845520486,0.0,0.15288770214008715,0.11202159996646933,0.1220982104005115,0.0,0.11124279762544587,0.0,0.0971441958680746,8.0
PPP1R2P9,-0.14311427471736382,-0.10076361076417537,-0.052436163698047475,0.0,-0.12572688546477037,-0.09958993158320213,-0.07696977047121362,-0.1376701982829386,-0.1917519947522326,-0.13865648280467546,0.0,0.09697084659441996,-9.0
RBM14-RBM4,-0.12251999535145901,-0.21332482270597686,-0.21719789151573363,0.0,0.0,-0.19504510171857106,-0.11532965629498627,-0.13294922679755164,0.0,-0.0668385919249941,0.0,0.09665502602811568,-7.0
NCOR1,-0.053321241542874744,0.0,-0.07336771164722619,0.0,-0.1603378352079837,-0.1329927046252087,-0.2259767431534625,-0.07509604729098446,-0.18848091958857455,-0.06794380118711225,-0.07740979495052205,0.09590243629035902,-9.0
HCG9,0.11064747322341312,0.09515983346559471,0.10610918671661608,0.0,0.08188466205354133,0.1703635777276173,0.13095104974408933,0.15997983567857973,0.047475233775429906,0.15118891336292473,0.0,0.09579634234070968,9.0
ETV5,-0.08355025791463372,-0.17493198618908845,-0.09238228926601598,0.0,-0.0993866812575942,-0.060693027489872466,-0.05311908743974641,-0.15354393822512769,-0.10565947067782125,-0.09938849271218607,-0.10642361717884935,0.09355262257735776,-10.0
MKL2,-0.16042004584653163,-0.04440204182602855,-0.16663903932236246,0.0,-0.23249838347858498,-0.02740642433943634,-0.07113320068841623,-0.15309731554773767,-0.06529137423175574,-0.1072603683130483,0.0,0.0934680175994456,-9.0
