GENE_SYMBOL,Num_Estudios,LogFC_Medio,Consistencia_Direccional,GSE118370,GSE18842,GSE19188,GSE19804,GSE31210,GSE7670
KL,6,-2.3544771992709177,1.0,-2.6986904289031335,-1.9381919274196264,-1.879218857869208,-2.2836517866856223,-2.3704264831842776,-2.9566837115636364
FOXF1,6,-2.4484375098513382,1.0,-2.7228917315873016,-2.707449091043342,-2.646274813160317,-2.0207505178618135,-2.4813211861739113,-2.111937719281344
TOX3,6,2.3624457695311034,1.0,3.3107536005787024,1.032116815070392,0.9308520190341132,2.3098618493252454,3.126869336639606,3.464220996538562
GIMAP1-GIMAP5,6,-1.205804187287424,1.0,-1.6702339065707663,-1.2377103614661609,-0.954359592449786,-0.92975170291514,-1.2158415047714364,-1.2269280555512534
CAV1,6,-2.490169415082088,1.0,-2.440400665856483,-2.8157339780021378,-2.670750449688913,-2.440782962750225,-1.7474396308727016,-2.8259088033220685
LMCD1,6,-0.9460470295285649,1.0,-1.7041965748611094,-0.568598078023645,-0.624850869231327,-0.6331494785817045,-0.9268016670783386,-1.2186855093952644
NDST1,6,-0.44846948087338045,1.0,-0.7879994567625674,-0.2445893907215293,-0.279282246164918,-0.3726891325235186,-0.1965331273193973,-0.809723531748352
TEK,6,-1.9315055661579983,1.0,-3.040659411078493,-1.5128509332836186,-1.386624550809627,-1.3490954867150666,-2.292393812545141,-2.007409202516043
NDRG2,6,-0.974907035088649,1.0,-1.7870077977925316,-0.630046301600272,-0.6071817999162874,-0.7529967386090837,-1.091698875226507,-0.9805106973872116
GOT2,6,0.6388036660523645,1.0,0.6428688580929496,0.8653665030964657,0.618315662470583,0.6446942975243317,0.4064207078058803,0.6551559673239762
NDEL1,6,-0.5393588734852576,1.0,-0.7828081805901288,-0.3457058040115912,-0.2135050322048334,-0.3560439767099037,-0.5619849486233033,-0.9761052987717846
FERMT1,6,1.5004662542062368,1.0,1.646022028223605,2.015604030059781,1.5278162743890935,0.8847945924066174,1.6989233127583407,1.2296372873999832
FERMT2,6,-1.225948946267797,1.0,-1.6701006179354074,-1.289159657371024,-1.0640246969354414,-1.1572674878715858,-0.8719262744989607,-1.3032149429943622
RGCC,6,-1.7987793337372,1.0,-2.4988772448330003,-1.6540616039752276,-1.6375334780036768,-1.2383130325042415,-1.5792332146588386,-2.184657428448215
KANK3,6,-2.5985931991661633,1.0,-3.331767539768518,-2.5495415872519773,-2.1057710766726796,-2.030371654818981,-2.1794209381176826,-3.3946863983671376
MAPRE2,6,-0.6882480618122592,1.0,-1.3695101661243392,-0.5087723670879187,-0.409454398516421,-0.3444289488638619,-0.6379974331137657,-0.8593250571672488
FHL1,6,-2.730635142932872,1.0,-2.960796881569113,-3.3291961049906433,-3.0073778729496734,-2.566748268113754,-1.749987299176052,-2.769704430797997
SLCO2A1,6,-1.9164418222134507,1.0,-2.4581026532049144,-2.114604496656688,-2.373603592584987,-1.4001383772460851,-1.5739447582589268,-1.578257055329102
RNF125,6,-1.1555510216889024,1.0,-1.828236302520443,-0.95117310981881,-1.2817497100601412,-0.7906959773393352,-0.933765413317948,-1.147685617076737
CASP1,6,-0.8470570182818168,1.0,-1.1595271279780626,-1.072433129589335,-1.1253712028245082,-0.6452462908145566,-0.4415477407736272,-0.6382166177108104
LINC00312,6,-1.647593116614957,1.0,-2.4956090057683005,-1.3612952065967887,-2.0224979633632754,-1.196914461310615,-1.702649046953498,-1.106593015697264
LIMS2,6,-1.6450058410310977,1.0,-1.5923651972279451,-2.1427666808575525,-1.3969757881609626,-1.2414280238938682,-1.4080276443322566,-2.0884717117140017
LIMCH1,6,-1.6047258337318449,1.0,-1.1980065883763231,-2.4558962270637643,-1.9698163507453033,-1.1890945103297046,-1.232343646386541,-1.5831976794894338
KCNK3,6,-2.1497795905743273,1.0,-1.9957128992012605,-2.2141606933824542,-2.0819157196204032,-1.7996376875827664,-2.499525304716683,-2.307725238942397
LHFP,6,-1.3881857682077543,1.0,-1.6135184332318708,-1.4907379420008915,-1.357715091075989,-1.1637961874483267,-1.3573065352008076,-1.3460404202886398
SMAD6,6,-1.207998965650065,1.0,-1.945249497685184,-0.827001107770621,-0.7130399399293451,-0.5751752207027687,-1.4915306295079054,-1.6959973983045655
SLIT2,6,-2.0618016006413504,1.0,-2.6456577265928125,-2.1724190624604907,-2.3054053112191273,-1.85103192326833,-1.7581460542761178,-1.6381495260312242
TGFBR3,6,-2.430731722441354,1.0,-3.110380072294973,-2.152667588150684,-2.60414393469475,-2.141671223885023,-2.120440003930677,-2.4550875116920174
GIMAP6,6,-1.959147476353917,1.0,-1.9325138735306453,-2.436868401700095,-1.9791458126651411,-1.9705645000847571,-1.6308819995431545,-1.804910270599709
CCRL2,6,-1.269695622213406,1.0,-1.7739811986309508,-1.8686517965655496,-1.4698587205825038,-0.7170116371997501,-0.6333681834302372,-1.1553021968714443
QKI,6,-0.8422903134045653,1.0,-1.2198295961574068,-0.7731401779606948,-0.8447856430760567,-0.8780686408827929,-0.5724152392340347,-0.7655025831164064
IDH1,6,0.675309945480907,1.0,1.099568671455028,0.3698076759663138,0.2826673504307831,0.5812961293084609,0.7789189647885433,0.9396008809363128
EDNRB,6,-3.131894214645334,1.0,-3.5244452171329383,-3.320549290701811,-3.420057597900091,-2.9766837029009094,-2.656628288581361,-2.8930011906548954
