GENE_SYMBOL,Puntuacion_Consenso,LogFC_Medio,Importancia_Media,Consistencia_Signo,Num_Estudios
IDH1,0.07043069716705304,0.675309945480907,0.0,0.0,6
CCL15,0.0704287747155902,-0.6752924522865071,0.0,0.0,4
GPR176,0.0703950826493459,0.598191946651645,0.0069652563359232,1.0,1
MLEC,0.07038443574004548,0.6733923417883455,0.0001357472105391,1.0,5
PRSS12,0.07035943482806789,-0.6746614994871623,0.0,0.0,3
GOT1,0.07032321816762649,0.6743319488619023,0.0,0.0,4
IL15,0.07031445474729373,-0.6742522068145993,0.0,0.0,4
CD163,0.07020406598312692,-0.6732477330224422,0.0,0.0,4
PRKCDBP,0.07019890067313252,-0.6732007316943912,0.0,0.0,4
HAMP,0.07019150564323504,0.6356507581046016,0.0033997023588093,3.0,4
CTPS2,0.07015076585107845,0.4636444658418267,0.0189671551307129,5.0,5
CHGA,0.07014206688999108,0.672683577198591,0.0,0.0,1
GPR56,0.07006762925360838,0.672006237838368,0.0,0.0,5
ACADSB,0.07004018408903705,-0.6325880496653348,0.0035526027300412,-1.0,2
HOXA3,0.06993527675491398,-0.6708019067882973,0.0,0.0,2
SPON1,0.06992159312109775,-0.6706773936491782,0.0,0.0,4
PLXNA2,0.06989709452409659,-0.6704544706115121,0.0,0.0,4
CYP7B1,0.0698644658986419,0.6701575690256422,0.0,0.0,3
TRIM52,0.0698507708837904,-0.6700329523256965,0.0,0.0,2
CBR1,0.06984736420852104,0.6700019535546505,0.0,0.0,4
HOPX,0.06983225542358114,-0.6698644723660712,0.0,0.0,2
CNGA3,0.06981531085181553,0.6697102865810743,0.0,0.0,3
CISD1,0.06978670674266511,0.6694500057616771,0.0,0.0,6
GPR20,0.0697672731060551,-0.6692731709288171,0.0,0.0,4
DUSP4,0.06975990476973215,0.6692061233376599,0.0,0.0,1
CASP4,0.06975294057098021,-0.6691427531642323,0.0,0.0,3
TAF10,0.06974041096900133,0.5128385683684691,0.0141665445086229,-2.0,2
HPS5,0.06973348243050408,-0.6689656953603887,0.0,0.0,4
LGR5,0.06968478873294662,0.53029168956502,0.0125376293935043,2.0,2
SLC35B1,0.06967870229844851,0.6460100556581085,0.0020368793032358,1.0,5
