ID_REF,GSE118370,GSE18842,GSE19188,GSE19804,GSE23066,GSE31210,GSE40791,GSE7670,d_Media,d_Minima_Abs,Direccion
RUSC1,1.8458902,2.6872206,2.0362082,1.7007104,0.877719,1.2405087,6.513669,2.7526836,2.4568262,0.877719,enfermo
PGC,-1.1175133,-2.057436,-1.665752,-0.995628,-1.0312966,-0.8762074,-2.1652288,-1.3594337,-1.408562,0.8762074,sano
SULF1,2.320048,3.2688937,2.4936686,1.7603507,0.87493867,1.3360201,3.1603086,2.711249,2.2406847,0.87493867,enfermo
IPW,-1.5825965,-1.3234915,-0.91425616,-0.8729891,-1.9865866,-1.0709182,-2.7210991,-1.3806516,-1.4815736,0.8729891,sano
SPINK1,3.3701108,0.8636995,0.8668757,1.458793,0.9862397,1.6359645,2.1960998,1.5810852,1.6198585,0.8636995,enfermo
GPI,0.86216635,2.8579931,2.240972,1.597232,1.2075499,1.1820565,6.4643836,1.8205174,2.2791088,0.86216635,enfermo
SEPP1,-2.8684592,-3.5356057,-2.4715123,-1.1996902,-1.735547,-0.8602341,-9.270719,-1.8806655,-2.9778042,0.8602341,sano
ST14,3.752949,1.8784043,1.0545734,1.9191309,0.8577902,1.8586422,5.512529,1.9086384,2.342832,0.8577902,enfermo
KCNA5,-2.9217906,-1.914305,-2.0358741,-1.200436,-0.85758907,-0.9004249,-1.6491061,-1.8061943,-1.660715,0.85758907,sano
ANKS1A,-1.98963,-1.9573092,-2.0409937,-1.6661193,-0.85584384,-2.4586892,-3.281275,-2.4961212,-2.0932477,0.85584384,sano
CP,2.4824722,1.0267382,0.9622471,1.4289867,0.8518581,1.5250659,2.4564264,3.3598151,1.7617013,0.8518581,enfermo
FGD6,2.419767,1.6726304,0.84772485,0.93810314,1.0023487,1.5590708,2.6425984,1.0253407,1.513448,0.84772485,enfermo
DPM2,1.095494,0.88047725,1.087368,0.84756607,1.0438597,0.99185276,4.375414,1.7864982,1.5135663,0.84756607,enfermo
FTSJ1,1.1531911,1.9372356,1.0986379,1.0675429,1.4430958,0.8442257,4.029702,1.8462552,1.6774858,0.8442257,enfermo
FAM63B,-1.2824619,-0.8440842,-1.3354515,-1.4053341,-1.7577852,-1.2485963,-1.8335571,-1.3384335,-1.3807129,0.8440842,sano
FAM136A,3.0831237,1.4209585,1.8297653,1.5679337,0.8409506,1.6041733,4.656354,1.5672324,2.0713115,0.8409506,enfermo
KIAA0408,-1.256805,-2.3653555,-0.98427343,-1.8277491,-0.839238,-1.4219644,-0.9183176,-2.2869341,-1.4875797,0.839238,sano
PCF11,-1.1641641,-2.238208,-1.9739649,-0.83817637,-1.8196462,-1.4826261,-1.3097136,-1.7048682,-1.5664209,0.83817637,sano
AQP1,-0.9551217,-2.8674371,-2.073844,-1.5895923,-0.9864837,-1.0324775,-2.315972,-0.8338971,-1.5818532,0.8338971,sano
C11orf24,1.5666528,1.9245589,1.0839845,1.5788782,0.83118683,1.2148631,4.413307,1.9288585,1.8177863,0.83118683,enfermo
GRIA1,-2.441317,-2.415307,-2.0624657,-2.4967067,-0.83073324,-2.0022836,-2.2593658,-2.8273172,-2.166937,0.83073324,sano
NRIP3,2.004238,1.6123747,1.4211268,0.8262996,1.0480288,0.8635206,4.407559,0.8531625,1.6295388,0.8262996,enfermo
CRBN,-2.3104656,-3.528091,-2.0632606,-1.6529521,-0.8261683,-1.5838803,-3.9942102,-5.8087783,-2.7209756,0.8261683,sano
HIST1H2BH,2.2685208,2.0627139,2.329216,1.551239,1.11512,0.82368356,2.7578056,1.645774,1.8192592,0.82368356,enfermo
CLIC5,-1.7266487,-5.5253506,-3.560554,-2.793892,-0.8208114,-1.7407432,-4.752894,-2.9173017,-2.9797742,0.8208114,sano
KRT8,2.1732323,1.0393685,0.93843234,0.82046646,0.98060715,1.5209192,2.8902342,1.5055196,1.4835975,0.82046646,enfermo
PALM,-0.93430704,-1.6527927,-1.0247003,-0.81943077,-1.8244112,-1.0806476,-1.9406139,-1.1229451,-1.299981,0.81943077,sano
GORASP2,1.628356,2.035009,1.4898801,2.033662,0.8180768,2.1555083,5.600513,4.6812234,2.5552785,0.8180768,enfermo
PRKG1,-2.649081,-1.1896873,-1.9649211,-1.2005875,-0.94966066,-1.2642496,-2.0877934,-0.8139834,-1.5149955,0.8139834,sano
TRHDE,-3.207069,-2.3413017,-2.4622395,-1.977819,-0.8138195,-1.7804804,-4.6132183,-4.8040514,-2.7499995,0.8138195,sano
ZEB2,-2.4710398,-2.821473,-2.5912135,-1.6883508,-0.8134489,-1.9072595,-5.102961,-1.6063377,-2.3752606,0.8134489,sano
TENC1,-2.5270286,-3.4465766,-2.2987113,-1.3752881,-0.8127453,-1.8680459,-1.5964336,-1.3886733,-1.9141877,0.8127453,sano
LAMA4,-3.9080744,-0.8118158,-1.0560685,-1.2466102,-1.168164,-1.5791517,-2.35398,-3.6084955,-1.9665451,0.8118158,sano
GMPPA,1.5837247,1.8292572,1.3188914,1.2946635,1.528003,1.7400138,4.156957,0.81047654,1.7827485,0.81047654,enfermo
NR3C1,-2.813189,-1.8150245,-1.7955014,-0.8508374,-0.8090847,-1.2697412,-3.7592342,-1.496632,-1.8261554,0.8090847,sano
DPAGT1,1.4041064,1.5270685,1.0248506,1.711812,0.8076262,1.3631399,6.0668283,1.7218623,1.9534118,0.8076262,enfermo
SLC35A1,-0.9914746,-3.0000997,-2.2664137,-0.8070738,-1.0006906,-1.0061303,-4.776479,-2.0017364,-1.9812622,0.8070738,sano
GUCY1A2,-1.8431032,-1.8514766,-2.0403223,-1.6950258,-0.9425307,-1.8735892,-5.2639275,-0.8045632,-2.0393174,0.8045632,sano
KAL1,-1.6068292,-2.8304932,-2.4299695,-2.2353892,-0.8045604,-1.9946768,-4.3276305,-4.1589026,-2.5485566,0.8045604,sano
HOOK1,2.7944376,1.4201311,1.2685479,1.3951243,1.0248482,2.0069234,1.6292992,0.80297,1.5427853,0.80297,enfermo
SSR3,0.8216083,2.1134934,1.2636405,1.0569041,1.3200325,1.5341856,2.1251822,0.8024518,1.3796874,0.8024518,enfermo
SPR,1.85143,1.1951133,0.85207343,1.6031286,0.80094934,1.4860669,1.4237239,1.6292754,1.3552201,0.80094934,enfermo
