ID_REF,GSE30219,GSE50081,GSE19188,d_Media,d_Minima_Abs,Direccion
ERVMER34-1,1.2338649,0.9568921,1.0618544,1.0842038,0.9568921,escamoso
BDH1,1.8218713,0.9567484,1.2462088,1.3416095,0.9567484,escamoso
UBL7-AS1,1.3992523,0.9561594,1.2106837,1.1886984,0.9561594,escamoso
SYTL3,-1.3349388,-1.0417366,-0.9561192,-1.1109315,0.9561192,adenocarcinoma
HAGLROS,1.6999483,0.9559267,1.3546414,1.3368387,0.9559267,escamoso
ENPP5,-1.8821397,-0.95551264,-1.3962485,-1.4113002,0.95551264,adenocarcinoma
FAM57A,1.4363321,0.9548164,1.2129705,1.201373,0.9548164,escamoso
UBE2S,1.7619412,1.2371057,0.9525795,1.3172088,0.9525795,escamoso
GALE,-1.3537996,-0.952565,-1.8191413,-1.3751687,0.952565,adenocarcinoma
NR3C2,-1.6429762,-1.0417379,-0.95186114,-1.2121917,0.95186114,adenocarcinoma
SLCO2A1,-0.9513522,-0.9936602,-1.0653517,-1.0034547,0.9513522,adenocarcinoma
GPNMB,1.3925657,0.9508401,1.6015702,1.314992,0.9508401,escamoso
ELP4,1.0722057,0.9500528,1.0255271,1.0159286,0.9500528,escamoso
ARHGDIB,-1.4553003,-0.94837475,-1.0599079,-1.1545277,0.94837475,adenocarcinoma
MIA3,-1.369594,-0.9483603,-1.1402118,-1.152722,0.9483603,adenocarcinoma
ME3,-2.076338,-0.9483227,-1.4465299,-1.4903969,0.9483227,adenocarcinoma
SEMA6D,1.2069553,0.9479941,1.2506063,1.1351852,0.9479941,escamoso
WSB1,-1.4497308,-0.94769704,-1.108761,-1.1687297,0.94769704,adenocarcinoma
LINC01127,1.0186069,0.94757473,1.1057143,1.0239654,0.94757473,escamoso
SH3RF2,1.7582594,0.947079,1.8205074,1.5086154,0.947079,escamoso
PDK4,-1.2951866,-0.9468349,-1.1578126,-1.133278,0.9468349,adenocarcinoma
ACAP2,2.729398,0.9448228,2.285552,1.986591,0.9448228,escamoso
TGFBR2,-1.5939887,-0.9445246,-1.0048075,-1.1811069,0.9445246,adenocarcinoma
GOT2,1.381425,0.9444394,1.7767531,1.367539,0.9444394,escamoso
SUOX,-1.5505698,-1.0161222,-0.9441796,-1.1702905,0.9441796,adenocarcinoma
DDX39A,1.6275271,1.013072,0.94387764,1.1948256,0.94387764,escamoso
GAPDH,1.7813804,0.94383144,0.95392025,1.2263774,0.94383144,escamoso
RNF126,1.8055024,1.2765514,0.9436464,1.3419,0.9436464,escamoso
NUP50,1.8035905,1.0354049,0.9432527,1.2607493,0.9432527,escamoso
SBF2-AS1,0.9421915,1.0166026,1.1853855,1.0480598,0.9421915,escamoso
ALDH7A1,-1.1736646,-0.94150877,-1.5335344,-1.216236,0.94150877,adenocarcinoma
LOC349160,1.5357603,0.9414623,1.4653686,1.3141971,0.9414623,escamoso
ASAH1,-1.9708818,-0.9414072,-1.1376381,-1.3499757,0.9414072,adenocarcinoma
SLCO3A1,1.2012461,0.941328,1.3746285,1.1724008,0.941328,escamoso
CHEK2,1.3646739,0.94095314,1.1023,1.1359757,0.94095314,escamoso
AUNIP,1.62861,0.99172986,0.9406258,1.1869885,0.9406258,escamoso
FHOD1,-1.4510467,-1.1980474,-0.9392716,-1.1961219,0.9392716,adenocarcinoma
CCNJL,-1.9107095,-1.3329722,-0.9383848,-1.3940221,0.9383848,adenocarcinoma
GJA3,1.4960587,1.0299549,0.9382003,1.154738,0.9382003,escamoso
FOLH1,0.99509984,0.93778896,1.1309466,1.0212785,0.93778896,escamoso
KLRG2,1.4814597,0.9372093,1.174081,1.1975833,0.9372093,escamoso
PTS,1.1131936,0.93669313,0.9786197,1.009502,0.93669313,escamoso
CYB561,-1.2589736,-0.98047554,-0.9362387,-1.0585626,0.9362387,adenocarcinoma
FRMD6,2.413921,0.9358925,1.9379454,1.7625862,0.9358925,escamoso
PLEKHG6,1.4935341,1.0241328,0.93585473,1.1511738,0.93585473,escamoso
TNFSF12-TNFSF13,-1.6512457,-0.935828,-1.1251433,-1.2374057,0.935828,adenocarcinoma
LOC100996760,1.5357714,1.1741409,0.9357181,1.2152101,0.9357181,escamoso
WDR5,1.5011506,1.0280558,0.9356737,1.15496,0.9356737,escamoso
SVIP,-1.703674,-0.99616253,-0.9352667,-1.211701,0.9352667,adenocarcinoma
FOXJ1,-1.6360157,-1.0161377,-0.93498987,-1.1957145,0.93498987,adenocarcinoma
ASL,-1.0085771,-0.9499815,-0.93496966,-0.9645094,0.93496966,adenocarcinoma
TMEM14A,1.2777346,0.934921,1.432471,1.2150422,0.934921,escamoso
TMEM57,-1.5456631,-0.9348511,-1.126593,-1.2023691,0.9348511,adenocarcinoma
ACAD8,-1.5852056,-0.9341225,-1.3504428,-1.2899237,0.9341225,adenocarcinoma
CDT1,1.4823319,0.9588239,0.93396807,1.1250414,0.93396807,escamoso
LINC00849,-1.5977733,-0.9337872,-1.3673658,-1.2996421,0.9337872,adenocarcinoma
WDR53,2.124438,0.9335229,1.6506641,1.5695416,0.9335229,escamoso
TMEM219,-1.547147,-0.93270737,-0.93259996,-1.1374848,0.93259996,adenocarcinoma
GAP43,1.1728737,0.9322237,0.9973295,1.0341423,0.9322237,escamoso
QSOX1,-1.3545649,-0.93166184,-1.1158285,-1.1340184,0.93166184,adenocarcinoma
NSUN7,-1.7735881,-0.95715606,-0.9314111,-1.2207184,0.9314111,adenocarcinoma
TMPO-AS1,1.0778193,0.931137,0.9472919,0.9854161,0.931137,escamoso
NPC2,-1.1449755,-1.241888,-0.93080664,-1.1058902,0.93080664,adenocarcinoma
GAN,1.3763244,0.93067014,1.5025116,1.2698354,0.93067014,escamoso
RHOV,1.6056707,1.0104413,0.929683,1.1819316,0.929683,escamoso
GPD1L,-1.621418,-1.240858,-0.92943114,-1.2639024,0.92943114,adenocarcinoma
IFNAR2,-1.6068709,-1.1078273,-0.9293947,-1.2146977,0.9293947,adenocarcinoma
BOLA3,1.0693108,0.9293567,1.2756307,1.0914327,0.9293567,escamoso
FAM177A1,-1.4622473,-0.92843175,-1.2742989,-1.2216593,0.92843175,adenocarcinoma
CTSH,-1.2737157,-0.94097507,-0.92798734,-1.0475594,0.92798734,adenocarcinoma
NFE2L1,1.4652523,0.9278876,1.4134997,1.2688799,0.9278876,escamoso
STARD3NL,-1.3211648,-0.92710185,-1.367874,-1.2053803,0.92710185,adenocarcinoma
TENM4,1.1533375,0.9269638,1.2810081,1.1204365,0.9269638,escamoso
CMC2,1.051398,0.92645603,1.3074636,1.0951059,0.92645603,escamoso
HPCAL1,-1.2662591,-0.9259195,-1.1844838,-1.1255541,0.9259195,adenocarcinoma
SLC7A8,1.2690163,1.0181817,0.92565787,1.0709519,0.92565787,escamoso
DDX49,1.5848203,0.9251707,1.3306366,1.2802092,0.9251707,escamoso
RP11-255C15.4,1.6440377,0.9250752,1.0108724,1.1933284,0.9250752,escamoso
EPHB6,1.6583264,0.92487276,1.4319457,1.3383816,0.92487276,escamoso
KIAA1549L,1.0514048,0.9244746,1.1004874,1.0254556,0.9244746,escamoso
GINS1,1.3567339,1.0266594,0.92388535,1.1024262,0.92388535,escamoso
UBXN10,-1.7004786,-0.923746,-0.9585765,-1.194267,0.923746,adenocarcinoma
BCL11B,1.402143,0.9235383,1.117628,1.1477698,0.9235383,escamoso
COLGALT2,1.308812,0.92305756,1.2137927,1.1485542,0.92305756,escamoso
EFCAB2,-1.8813949,-0.9603457,-0.92277163,-1.2548374,0.92277163,adenocarcinoma
WNT7B,1.333494,0.9219449,1.1408598,1.1320995,0.9219449,escamoso
SNRPA1,1.1143863,0.92170286,1.1409589,1.0590161,0.92170286,escamoso
SENP2,1.6478673,0.92122537,1.1088039,1.2259655,0.92122537,escamoso
CELF2,-1.509645,-1.1474128,-0.92003584,-1.1923646,0.92003584,adenocarcinoma
NCBP2,2.0771441,0.9198014,1.4974707,1.4981388,0.9198014,escamoso
FAM213A,1.2819924,0.91976136,1.6332031,1.278319,0.91976136,escamoso
PTPRM,-1.4719889,-1.052937,-0.9191761,-1.148034,0.9191761,adenocarcinoma
AKR1C1,0.91893923,0.961434,1.1879917,1.0227884,0.91893923,escamoso
FMO5,-1.8452615,-0.9189339,-1.1668789,-1.3103582,0.9189339,adenocarcinoma
TXNL4B,1.172407,0.91816235,1.1566887,1.0824194,0.91816235,escamoso
DDIAS,1.7288027,0.9181243,1.425549,1.357492,0.9181243,escamoso
RBPMS,-1.8351889,-0.9180611,-1.0166893,-1.2566464,0.9180611,adenocarcinoma
TMEM8A,-1.5648946,-0.9180152,-1.1951531,-1.2260209,0.9180152,adenocarcinoma
CA12,1.315435,0.91755,1.0915871,1.1081907,0.91755,escamoso
LPAR3,1.5253506,0.9175127,1.4235598,1.2888077,0.9175127,escamoso
SLC35E2,-1.5315585,-0.9171035,-1.2104651,-1.219709,0.9171035,adenocarcinoma
SIRT1,-1.7027633,-0.9168357,-1.312301,-1.3106333,0.9168357,adenocarcinoma
ATOH8,-1.351793,-0.96484387,-0.91672885,-1.0777887,0.91672885,adenocarcinoma
ADCY6,-1.4963224,-0.91615224,-1.6242164,-1.3455638,0.91615224,adenocarcinoma
TMEM243,-1.1135966,-0.9157757,-0.9716322,-1.0003349,0.9157757,adenocarcinoma
PTTG1,1.1738343,0.91570497,1.0686898,1.0527431,0.91570497,escamoso
DNAJB11,1.6228925,0.9152934,1.298281,1.2788223,0.9152934,escamoso
PGAP1,2.1903663,0.9151314,1.604903,1.5701336,0.9151314,escamoso
RASSF7,-1.4162828,-0.91512346,-1.1029751,-1.1447937,0.91512346,adenocarcinoma
KCNN4,-0.97496676,-0.9149309,-1.2449825,-1.04496,0.9149309,adenocarcinoma
LOC101929880,-1.3326513,-0.9148805,-1.305915,-1.1844822,0.9148805,adenocarcinoma
RBKS,-1.5826906,-0.9144871,-1.1635432,-1.2202402,0.9144871,adenocarcinoma
LAMA1,1.2625757,0.91425896,1.1538211,1.1102185,0.91425896,escamoso
GSG2,1.218402,0.91392547,0.93888974,1.0237391,0.91392547,escamoso
BEAN1,-1.2546694,-0.9496004,-0.9134738,-1.0392479,0.9134738,adenocarcinoma
RGN,-1.5203823,-0.92529356,-0.9134529,-1.1197096,0.9134529,adenocarcinoma
GTF2H2,-1.2013797,-0.91311055,-1.131117,-1.0818691,0.91311055,adenocarcinoma
UNC13B,-1.779091,-0.9129261,-1.0724189,-1.254812,0.9129261,adenocarcinoma
CTC1,-1.9608896,-0.91248673,-1.4171647,-1.4301804,0.91248673,adenocarcinoma
CSRP2,1.8502617,0.9122753,1.564311,1.4422827,0.9122753,escamoso
LOC285812,1.6888398,0.9116866,1.0836549,1.2280604,0.9116866,escamoso
MACC1,-1.1377839,-0.9116033,-0.9680598,-1.0058156,0.9116033,adenocarcinoma
SYNE1,-1.8179289,-1.0492977,-0.9112412,-1.2594892,0.9112412,adenocarcinoma
CLCN2,1.3562406,1.1100858,0.9107019,1.1256762,0.9107019,escamoso
SH3GL1,1.6001313,1.1161038,0.91069746,1.2089776,0.91069746,escamoso
EFNA5,-1.0916661,-0.91054285,-1.1064239,-1.0362109,0.91054285,adenocarcinoma
PHGDH,1.6021693,0.9099293,1.0913926,1.2011638,0.9099293,escamoso
PPP2R3C,-0.950691,-0.9098912,-0.968217,-0.9429331,0.9098912,adenocarcinoma
LAMTOR4,0.909714,1.0234393,0.92849207,0.95388174,0.909714,escamoso
TSPAN3,-0.98676777,-0.909574,-0.9641324,-0.9534914,0.909574,adenocarcinoma
ZSCAN16,-1.9750359,-0.90937907,-0.99933296,-1.2945826,0.90937907,adenocarcinoma
RRM1,1.7331134,1.153134,0.90932083,1.2651894,0.90932083,escamoso
TFPI2,-0.99627435,-0.9087281,-0.9170938,-0.9406988,0.9087281,adenocarcinoma
SLC25A45,-1.9178113,-0.94058776,-0.908483,-1.2556273,0.908483,adenocarcinoma
GRAMD3,-1.2459481,-0.9963205,-0.90799254,-1.0500871,0.90799254,adenocarcinoma
SPC24,1.5738859,0.90796113,1.5161521,1.3326664,0.90796113,escamoso
MFI2-AS1,1.4635985,0.9077816,0.9444203,1.1052668,0.9077816,escamoso
TIMM44,1.2879794,0.90758187,1.3386395,1.1780668,0.90758187,escamoso
DMRT3,1.605802,0.9072386,1.2545593,1.2558666,0.9072386,escamoso
RP11-480A16.1,1.7451566,0.90701437,0.9223192,1.1914967,0.90701437,escamoso
LINC00992,1.3006486,0.90586555,0.9670964,1.0578701,0.90586555,escamoso
DCP1A,-1.1192055,-0.905818,-1.185581,-1.0702015,0.905818,adenocarcinoma
RSRC1,1.9746685,0.90575933,1.6563057,1.5122446,0.90575933,escamoso
CARM1,1.7243137,0.9056827,0.936183,1.1887264,0.9056827,escamoso
DNAJB13,-1.126416,-0.93371594,-0.90521055,-0.9884475,0.90521055,adenocarcinoma
GAPDHP73,1.9089142,0.90513736,0.9297239,1.2479252,0.90513736,escamoso
TMEM144,-1.4659309,-0.90508974,-1.0463524,-1.1391244,0.90508974,adenocarcinoma
ITGB8,1.7368938,0.9050885,1.1682646,1.2700824,0.9050885,escamoso
CASD1,-1.357047,-0.9039093,-1.3512973,-1.2040845,0.9039093,adenocarcinoma
HOXA1,1.6894562,1.1958674,0.90364385,1.2629892,0.90364385,escamoso
GNPTG,-1.668316,-0.95560557,-0.903246,-1.1757225,0.903246,adenocarcinoma
PI3,2.417296,1.9287906,0.9031513,1.749746,0.9031513,escamoso
SHE,-1.5625815,-0.9025593,-0.9254266,-1.1301891,0.9025593,adenocarcinoma
DSP,1.3505781,0.90173614,0.9480211,1.0667784,0.90173614,escamoso
C16orf95,1.2709038,0.9016346,1.4238242,1.1987876,0.9016346,escamoso
TDRKH,-1.868328,-0.9001881,-1.3295459,-1.3660207,0.9001881,adenocarcinoma
GSE1,-1.803843,-0.90003574,-1.7417305,-1.4818697,0.90003574,adenocarcinoma
ANG,-1.4893636,-0.89904463,-1.349936,-1.2461147,0.89904463,adenocarcinoma
SLC26A9,-1.2550565,-0.89864826,-1.2014849,-1.1183965,0.89864826,adenocarcinoma
RP11-111M22.3,1.1309038,0.93012965,0.8984151,0.98648286,0.8984151,escamoso
TADA2B,-1.6988113,-0.8983582,-0.93364894,-1.1769395,0.8983582,adenocarcinoma
XAGE1B,-1.3975338,-0.8981725,-1.016148,-1.1039515,0.8981725,adenocarcinoma
DDB2,1.4653236,0.89779145,1.5258671,1.2963275,0.89779145,escamoso
AFAP1-AS1,-0.8977081,-1.1172867,-0.9980497,-1.0043482,0.8977081,adenocarcinoma
DPYSL2,-1.3069192,-0.9125073,-0.8976186,-1.039015,0.8976186,adenocarcinoma
GRAMD1A,-1.3894368,-0.90180045,-0.8969283,-1.0627218,0.8969283,adenocarcinoma
NDFIP1,-1.6197709,-1.006798,-0.895864,-1.1741443,0.895864,adenocarcinoma
LOC100289361,1.3848503,1.077511,0.8958011,1.1193875,0.8958011,escamoso
STAR,1.5872105,0.89519876,1.1011338,1.1945144,0.89519876,escamoso
LSM4,1.4226365,0.8950017,1.331127,1.2162551,0.8950017,escamoso
NDE1,1.2837653,0.89381135,0.91849846,1.032025,0.89381135,escamoso
PLA2G3,0.99368954,0.89317226,1.1365894,1.0078171,0.89317226,escamoso
H2AFZ,1.2911133,0.891828,0.9291403,1.0373605,0.891828,escamoso
B3GNT7,-1.4458371,-0.9281214,-0.89182425,-1.0885943,0.89182425,adenocarcinoma
PTER,-1.6701939,-0.8917508,-1.5471722,-1.3697057,0.8917508,adenocarcinoma
RNF115,-1.6553836,-0.8916059,-0.9725539,-1.1731812,0.8916059,adenocarcinoma
SERPINB4,1.6346269,1.0120867,0.89157885,1.1794308,0.89157885,escamoso
FAM13A-AS1,-1.0535784,-0.8911859,-1.1477233,-1.0308292,0.8911859,adenocarcinoma
