ID_REF,GSE30219,GSE50081,GSE19188,d_Media,d_Minima_Abs,Replicado_3_Cohortes,Direccion
RP11-285F7.2,-1.6931637938138873,-1.1896137679845045,-1.2788439665795117,-1.387207176125968,1.1896137679845045,True,Adenocarcinoma
MYO5C,-1.660530538508496,-1.1881646985184604,-1.3190789960907172,-1.3892580777058914,1.1881646985184604,True,Adenocarcinoma
PTP4A2,-2.0618353843354815,-1.1880518636242938,-1.5391487780611313,-1.5963453420069689,1.1880518636242938,True,Adenocarcinoma
FAM13A,-1.9310641473674999,-1.1875023319093319,-1.6112463547012885,-1.5766042779927067,1.1875023319093319,True,Adenocarcinoma
TFAP2A,1.9772490518582426,1.255016367421106,1.186225096586316,1.4728301719552215,1.186225096586316,True,Escamoso
KRT18,-1.3565018673682037,-1.1848375566234848,-1.2842497005008684,-1.2751963748308524,1.1848375566234848,True,Adenocarcinoma
PTGFRN,1.9599626500400231,1.3206180922736765,1.182182381205378,1.4875877078396929,1.182182381205378,True,Escamoso
MGRN1,-1.8596023216327375,-1.240427118488851,-1.1817972289734253,-1.4272755563650046,1.1817972289734253,True,Adenocarcinoma
BC034636,2.2553794550005404,1.1804928698133748,1.9482556566556528,1.7947093271565226,1.1804928698133748,True,Escamoso
PPARGC1B,1.7900869132319066,1.2515178925985408,1.1802001328727396,1.4072683129010624,1.1802001328727396,True,Escamoso
FSCN1,2.453777586372062,1.2617784506929592,1.1782687718128824,1.6312749362926346,1.1782687718128824,True,Escamoso
FOLR1,-1.769117279260783,-1.178146474703732,-1.8482263921654507,-1.5984967153766554,1.178146474703732,True,Adenocarcinoma
MICAL3,1.7989720279499566,1.1763224887875534,1.253331078071364,1.4095418649362914,1.1763224887875534,True,Escamoso
SESN3,1.94906593668406,1.1752004624211783,2.219266410109556,1.7811776030715982,1.1752004624211783,True,Escamoso
CNTNAP2,1.5130161066060472,1.1747400254389595,1.2017754424114533,1.29651052481882,1.1747400254389595,True,Escamoso
TNS4,2.2422528267694086,1.3086113882921209,1.1727738814900126,1.5745460321838474,1.1727738814900126,True,Escamoso
LMO3,-1.8224876130827934,-1.1724164436181033,-1.1908820121201777,-1.395262022940358,1.1724164436181033,True,Adenocarcinoma
FAM84A,1.6746442364361929,1.1708816965255455,1.877502297622331,1.574342743528023,1.1708816965255455,True,Escamoso
RGL3,-1.9684231983778702,-1.170644642582599,-1.7085935205415759,-1.6158871205006815,1.170644642582599,True,Adenocarcinoma
