sampleId,subtipo,subtipo_txt,score_simple,score_lasso
TCGA-55-7907-01,0,LUAD,-7.229785700124876,-2.896221860482532
TCGA-55-7911-01,0,LUAD,-8.900710943625272,-3.748137643832769
TCGA-55-7914-01,0,LUAD,-16.862210219551525,-3.762330775555089
TCGA-64-1676-01,0,LUAD,-23.0966183833973,-4.670724717666246
TCGA-64-1677-01,0,LUAD,-9.241833131991545,-2.8155156403082993
TCGA-64-1678-01,0,LUAD,-6.3691480419742685,-1.1630691461800455
TCGA-64-1679-01,0,LUAD,15.232322242498405,-0.7596273203121543
TCGA-64-1680-01,0,LUAD,-0.670886097981796,-2.5695052960652447
TCGA-64-1681-01,0,LUAD,-3.1914714440849155,-2.133942203050637
TCGA-64-5774-01,0,LUAD,-10.349999178052062,-1.2040561273958368
TCGA-64-5775-01,0,LUAD,-11.960192000891924,-2.5566230732951496
TCGA-64-5778-01,0,LUAD,-6.757370737617121,-2.9160596053276393
TCGA-64-5781-01,0,LUAD,1.4598500512036243,-2.8476804504248676
TCGA-67-3771-01,0,LUAD,-4.416119908364396,-1.3039447809432365
TCGA-67-3772-01,0,LUAD,0.7554711833567507,-0.22095843256972503
TCGA-67-3773-01,0,LUAD,-25.297937246034994,-4.542229778586928
TCGA-67-3774-01,0,LUAD,-0.05205543296441589,-1.1436574950110867
TCGA-67-6215-01,0,LUAD,2.567187414502498,-0.3763935004228961
TCGA-67-6216-01,0,LUAD,1.0317676031018999,-3.7484898301363714
TCGA-67-6217-01,0,LUAD,-13.360587659500334,-2.6928088389969935
TCGA-69-7760-01,0,LUAD,-5.007937756095755,-2.639814079584176
TCGA-69-7761-01,0,LUAD,2.469301073348858,-0.3492333152310788
TCGA-69-7763-01,0,LUAD,9.408847602085716,0.6367287481591062
TCGA-69-7764-01,0,LUAD,-21.185799936638205,-4.371502763900038
TCGA-69-7765-01,0,LUAD,-8.707627628825549,-1.960720667029075
TCGA-69-7980-01,0,LUAD,-3.391671263917246,-3.4378653414680143
TCGA-71-6725-01,0,LUAD,-20.35205350999172,-4.7576186114022425
TCGA-73-4658-01,0,LUAD,-8.083173090697935,-3.0987244514195353
TCGA-73-4659-01,0,LUAD,-6.976507649155304,-1.5394777311685077
TCGA-73-4662-01,0,LUAD,-16.566373097540254,-3.5948673740665305
TCGA-73-4675-01,0,LUAD,-0.013672195064702408,-1.1481474739124728
TCGA-73-4676-01,0,LUAD,9.354124752375375,0.05671429008489137
TCGA-73-7498-01,0,LUAD,-17.98257958685423,-3.147329685839539
TCGA-73-7499-01,0,LUAD,-1.3655027334966245,-1.0827346270255562
TCGA-75-5122-01,0,LUAD,-13.603856612847684,-4.054902500327657
TCGA-75-5126-01,0,LUAD,6.8700111558320245,-1.762090165337141
TCGA-75-5146-01,0,LUAD,-5.293493897277058,-1.5297737724127645
TCGA-75-5147-01,0,LUAD,-0.672138476053616,-1.129641087326123
TCGA-75-6203-01,0,LUAD,-10.577651586171179,-1.8480710253911896
TCGA-75-6205-01,0,LUAD,6.0138632998912405,-2.782225393974882
TCGA-75-6207-01,0,LUAD,-14.47167699598849,-4.386327013213406
TCGA-75-6211-01,0,LUAD,-8.483418482683868,-2.8176793635918904
TCGA-75-6212-01,0,LUAD,-4.4841023444932615,-2.2714144569566983
TCGA-75-6214-01,0,LUAD,52.4543147386829,4.971297900881746
TCGA-75-7025-01,0,LUAD,11.559749246722474,0.06863120925929289
TCGA-75-7027-01,0,LUAD,1.8993886118736565,-0.23622403108030698
TCGA-75-7030-01,0,LUAD,23.738135361812276,2.6270855985278105
TCGA-75-7031-01,0,LUAD,-18.95608696394089,-4.046170009215153
TCGA-78-7143-01,0,LUAD,-2.2156628054909966,-2.923806041187141
TCGA-78-7145-01,0,LUAD,-11.256511927581695,-4.187559053060986
TCGA-78-7147-01,0,LUAD,-2.3818759442670947,-2.5464963395757954
TCGA-78-7148-01,0,LUAD,-8.729661894223119,-2.8942391003827064
TCGA-78-7149-01,0,LUAD,2.881941916538435,-0.755242440355349
TCGA-78-7150-01,0,LUAD,3.6389599990711186,0.5245289062890963
TCGA-78-7152-01,0,LUAD,0.44872623421492397,-0.901641081967461
TCGA-78-7153-01,0,LUAD,-17.404204089376837,-2.439687114765105
TCGA-78-7154-01,0,LUAD,1.6478249721331282,-2.6987874579160236
TCGA-78-7155-01,0,LUAD,-22.415799407037092,-4.426145479833814
TCGA-78-7156-01,0,LUAD,-14.405260076291963,-1.6765144986984089
TCGA-78-7158-01,0,LUAD,-19.19475439635208,-3.495882056557856
TCGA-78-7159-01,0,LUAD,-14.714406833922057,-2.675763719597519
TCGA-78-7160-01,0,LUAD,-3.955588125760861,-2.032444016730077
